	Iteration	Sample_name	Coverage	Difference
168	168	V509	99.63129032	0.004945435
169	169	V272	99.63568626	0.004395943
170	170	V399	99.64118119	0.005494928
171	171	V118	99.64557713	0.004395943
172	172	V363	99.65052257	0.004945435
173	173	V487	99.65491851	0.004395943
174	174	V354	99.65986395	0.004945435
175	175	V547	99.66425989	0.004395943
176	176	V344	99.66920532	0.004945435
177	177	V104	99.67250228	0.003296957
178	178	V454	99.67579924	0.003296957
179	179	V164	99.67909619	0.003296957
180	180	V346	99.68239315	0.003296957
181	181	V480	99.6862396	0.00384645
182	182	V372	99.68953656	0.003296957
183	183	V458	99.69338301	0.00384645
184	184	V219	99.69667996	0.003296957
185	185	V423	99.69997692	0.003296957
186	186	V133	99.70327388	0.003296957
187	187	V432	99.70657084	0.003296957
188	188	V370	99.71041728	0.00384645
189	189	V96	99.71481323	0.004395943
190	190	V489	99.71865968	0.00384645
191	191	V43	99.72195663	0.003296957
192	192	V201	99.72525359	0.003296957
193	193	V494	99.72910004	0.00384645
194	194	V168	99.73349598	0.004395943
195	195	V428	99.73789193	0.004395943
196	196	V199	99.74118888	0.003296957
197	197	V135	99.74448584	0.003296957
198	198	V486	99.74833229	0.00384645
199	199	V316	99.75217874	0.00384645
200	200	V261	99.7554757	0.003296957
201	201	V19	99.75932215	0.00384645
202	202	V124	99.7631686	0.00384645
203	203	V90	99.76701505	0.00384645
204	204	V512	99.76921302	0.002197971
205	205	V334	99.77141099	0.002197971
206	206	V375	99.77360896	0.002197971
207	207	V34	99.77580693	0.002197971
208	208	V106	99.7780049	0.002197971
209	209	V149	99.78020287	0.002197971
210	210	V540	99.78240084	0.002197971
211	211	V383	99.78459882	0.002197971
212	212	V129	99.78679679	0.002197971
213	213	V202	99.78899476	0.002197971
214	214	V42	99.79119273	0.002197971
215	215	V229	99.7933907	0.002197971
216	216	V83	99.79558867	0.002197971
217	217	V120	99.79778664	0.002197971
218	218	V430	99.79998461	0.002197971
219	219	V20	99.80218259	0.002197971
220	220	V68	99.80438056	0.002197971
221	221	V474	99.80657853	0.002197971
222	222	V237	99.8087765	0.002197971
223	223	V136	99.81097447	0.002197971
224	224	V98	99.81317244	0.002197971
225	225	V273	99.81537041	0.002197971
226	226	V324	99.81756838	0.002197971
227	227	V162	99.82031585	0.002747464
228	228	V97	99.82251382	0.002197971
229	229	V113	99.82471179	0.002197971
230	230	V333	99.82690976	0.002197971
231	231	V115	99.82965723	0.002747464
232	232	V103	99.83240469	0.002747464
233	233	V146	99.83515215	0.002747464
234	234	V305	99.83735013	0.002197971
235	235	V180	99.8395481	0.002197971
236	236	V531	99.84174607	0.002197971
237	237	V382	99.84394404	0.002197971
238	238	V264	99.84614201	0.002197971
239	239	V250	99.84833998	0.002197971
240	240	V368	99.85053795	0.002197971
241	241	V443	99.85273592	0.002197971
242	242	V294	99.8549339	0.002197971
243	243	V298	99.85713187	0.002197971
244	244	V171	99.85932984	0.002197971
245	245	V554	99.86152781	0.002197971
246	246	V63	99.86372578	0.002197971
247	247	V407	99.86647325	0.002747464
248	248	V472	99.86867122	0.002197971
249	249	V249	99.87086919	0.002197971
250	250	V529	99.87306716	0.002197971
251	251	V456	99.87581462	0.002747464
252	252	V497	99.87856209	0.002747464
253	253	V262	99.88076006	0.002197971
254	254	V143	99.88295803	0.002197971
255	255	V473	99.88405702	0.001098986
256	256	V59	99.885156	0.001098986
257	257	V340	99.88625499	0.001098986
258	258	V281	99.88735397	0.001098986
259	259	V117	99.88845296	0.001098986
260	260	V455	99.88955194	0.001098986
261	261	V13	99.89065093	0.001098986
262	262	V406	99.89174991	0.001098986
263	263	V159	99.8928489	0.001098986
264	264	V73	99.89394789	0.001098986
265	265	V244	99.89504687	0.001098986
266	266	V170	99.89614586	0.001098986
267	267	V413	99.89724484	0.001098986
268	268	V355	99.89834383	0.001098986
269	269	V66	99.89944281	0.001098986
270	270	V163	99.9005418	0.001098986
271	271	V444	99.90164079	0.001098986
272	272	V91	99.90273977	0.001098986
273	273	V286	99.90438825	0.001648478
274	274	V327	99.90548724	0.001098986
275	275	V35	99.90658622	0.001098986
276	276	V211	99.90768521	0.001098986
277	277	V391	99.90878419	0.001098986
278	278	V207	99.90988318	0.001098986
279	279	V437	99.91098216	0.001098986
280	280	V255	99.91208115	0.001098986
281	281	V166	99.91318013	0.001098986
282	282	V212	99.91427912	0.001098986
283	283	V482	99.91537811	0.001098986
284	284	V102	99.91647709	0.001098986
285	285	V422	99.91757608	0.001098986
286	286	V200	99.91867506	0.001098986
287	287	V182	99.91977405	0.001098986
288	288	V254	99.92087303	0.001098986
289	289	V534	99.92197202	0.001098986
290	290	V156	99.92307101	0.001098986
291	291	V28	99.92416999	0.001098986
292	292	V47	99.92526898	0.001098986
293	293	V270	99.92636796	0.001098986
294	294	V477	99.92746695	0.001098986
295	295	V325	99.92856593	0.001098986
296	296	V75	99.92966492	0.001098986
297	297	V108	99.9307639	0.001098986
298	298	V39	99.93186289	0.001098986
299	299	V141	99.93296188	0.001098986
300	300	V174	99.93406086	0.001098986
301	301	V189	99.93515985	0.001098986
302	302	V243	99.93625883	0.001098986
303	303	V137	99.93735782	0.001098986
304	304	V541	99.9384568	0.001098986
305	305	V420	99.93955579	0.001098986
306	306	V496	99.94065478	0.001098986
307	307	V331	99.94175376	0.001098986
308	308	V348	99.94285275	0.001098986
309	309	V552	99.94395173	0.001098986
310	310	V227	99.94505072	0.001098986
311	311	V544	99.9461497	0.001098986
312	312	V380	99.94724869	0.001098986
313	313	V33	99.94834768	0.001098986
314	314	V533	99.94944666	0.001098986
315	315	V222	99.95054565	0.001098986
316	316	V130	99.95164463	0.001098986
317	317	V524	99.95274362	0.001098986
318	318	V550	99.9538426	0.001098986
319	319	V22	99.95494159	0.001098986
320	320	V198	99.95604057	0.001098986
321	321	V464	99.95713956	0.001098986
322	322	V498	99.95823855	0.001098986
323	323	V452	99.95933753	0.001098986
324	324	V213	99.96043652	0.001098986
325	325	V358	99.9615355	0.001098986
326	326	V499	99.96263449	0.001098986
327	327	V62	99.96373347	0.001098986
328	328	V513	99.96483246	0.001098986
329	329	V446	99.96593145	0.001098986
330	330	V390	99.96703043	0.001098986
331	331	V183	99.96812942	0.001098986
332	332	V100	99.9692284	0.001098986
333	333	V336	99.97032739	0.001098986
334	334	V138	99.97142637	0.001098986
335	335	V86	99.97252536	0.001098986
336	336	V179	99.97362434	0.001098986
337	337	V81	99.97472333	0.001098986
338	338	V263	99.97582232	0.001098986
339	339	V27	99.97747079	0.001648478
340	340	V468	99.97911927	0.001648478
341	341	V32	99.98076775	0.001648478
342	342	V194	99.98241623	0.001648478
343	343	V410	99.98406471	0.001648478
344	344	V217	99.98571319	0.001648478
345	345	V360	99.98736167	0.001648478
